track_name,element,album_name,lyric,line
Tim McGraw,Verse 1,Taylor Swift,He said the way my blue eyes shined,1
Tim McGraw,Verse 1,Taylor Swift,Put those Georgia stars to shame that night,2
Tim McGraw,Verse 1,Taylor Swift,"I said, ""That's a lie""",3
Tim McGraw,Verse 1,Taylor Swift,Just a boy in a Chevy truck,4
Tim McGraw,Verse 1,Taylor Swift,That had a tendency of gettin' stuck,5
Tim McGraw,Verse 1,Taylor Swift,On backroads at night,6
Tim McGraw,Verse 1,Taylor Swift,And I was right there beside him all summer long,7
Tim McGraw,Verse 1,Taylor Swift,And then the time we woke up to find that summer gone,8
Tim McGraw,Chorus,Taylor Swift,But when you think Tim McGraw,9
Tim McGraw,Chorus,Taylor Swift,I hope you think my favorite song,10
Tim McGraw,Chorus,Taylor Swift,The one we danced to all night long,11
Tim McGraw,Chorus,Taylor Swift,The moon like a spotlight on the lake,12
Tim McGraw,Chorus,Taylor Swift,When you think happiness,13
Tim McGraw,Chorus,Taylor Swift,I hope you think that little black dress,14
Tim McGraw,Chorus,Taylor Swift,Think of my head on your chest,15
Tim McGraw,Chorus,Taylor Swift,And my old faded blue jeans,16
Tim McGraw,Chorus,Taylor Swift,When you think Tim McGraw,17
Tim McGraw,Chorus,Taylor Swift,I hope you think of me,18
Tim McGraw,Verse 2,Taylor Swift,September saw a month of tears,19
Tim McGraw,Verse 2,Taylor Swift,And thankin' God that you weren't here,20
Tim McGraw,Verse 2,Taylor Swift,To see me like that,21
Tim McGraw,Verse 2,Taylor Swift,But in a box beneath my bed,22
Tim McGraw,Verse 2,Taylor Swift,Is a letter that you never read,23
Tim McGraw,Verse 2,Taylor Swift,From three summers back,24
Tim McGraw,Verse 2,Taylor Swift,It's hard not to find it all a little bittersweet,25
Tim McGraw,Verse 2,Taylor Swift,"And lookin' back on all of that, it's nice to believe",26
Tim McGraw,Chorus,Taylor Swift,When you think Tim McGraw,27
Tim McGraw,Chorus,Taylor Swift,I hope you think my favorite song,28
Tim McGraw,Chorus,Taylor Swift,The one we danced to all night long,29
Tim McGraw,Chorus,Taylor Swift,The moon like a spotlight on the lake,30
Tim McGraw,Chorus,Taylor Swift,When you think happiness,31
Tim McGraw,Chorus,Taylor Swift,I hope you think that little black dress,32
Tim McGraw,Chorus,Taylor Swift,Think of my head on your chest,33
Tim McGraw,Chorus,Taylor Swift,And my old faded blue jeans,34
Tim McGraw,Chorus,Taylor Swift,When you think Tim McGraw,35
Tim McGraw,Chorus,Taylor Swift,I hope you think of me,36
Tim McGraw,Bridge,Taylor Swift,And I'm back for the first time since then,37
Tim McGraw,Bridge,Taylor Swift,I'm standin' on your street,38
Tim McGraw,Bridge,Taylor Swift,And there's a letter left on your doorstep,39
Tim McGraw,Bridge,Taylor Swift,And the first thing that you'll read is:,40
Tim McGraw,Bridge,Taylor Swift,"""When you think Tim McGraw",41
Tim McGraw,Bridge,Taylor Swift,I hope you think my favorite song,42
Tim McGraw,Bridge,Taylor Swift,Someday you'll turn your radio on,43
Tim McGraw,Bridge,Taylor Swift,"I hope it takes you back to that place""",44
Tim McGraw,Chorus,Taylor Swift,When you think happiness,45
Tim McGraw,Chorus,Taylor Swift,I hope you think that little black dress,46
Tim McGraw,Chorus,Taylor Swift,Think of my head on your chest,47
Tim McGraw,Chorus,Taylor Swift,And my old faded blue jeans,48
Tim McGraw,Chorus,Taylor Swift,When you think Tim McGraw,49
Tim McGraw,Chorus,Taylor Swift,I hope you think of me,50
Tim McGraw,Chorus,Taylor Swift,"Oh, think of me",51
Tim McGraw,Chorus,Taylor Swift,Mmmm,52
Tim McGraw,Outro,Taylor Swift,He said the way my blue eyes shine,53
Tim McGraw,Outro,Taylor Swift,Put those Georgia stars to shame that night,54
Tim McGraw,Outro,Taylor Swift,"I said, ""That's a lie""",55
Picture To Burn,Verse 1,Taylor Swift,"State the obvious, I didn't get my perfect fantasy",1
Picture To Burn,Verse 1,Taylor Swift,I realize you love yourself more than you could ever love me,2
Picture To Burn,Verse 1,Taylor Swift,So go and tell your friends that I'm obsessive and crazy,3
Picture To Burn,Verse 1,Taylor Swift,"That's fine, you won't mind if I say",4
Picture To Burn,Verse 1,Taylor Swift,By the way,5
Picture To Burn,Chorus,Taylor Swift,I hate that stupid old pickup truck you never let me drive,6
Picture To Burn,Chorus,Taylor Swift,You're a redneck heartbreak who's really bad at lying,7
Picture To Burn,Chorus,Taylor Swift,So watch me strike a match on all my wasted time,8
Picture To Burn,Chorus,Taylor Swift,"As far as I'm concerned, you're just another picture to burn",9
Picture To Burn,Verse 2,Taylor Swift,There's no time for tears,10
Picture To Burn,Verse 2,Taylor Swift,I'm just sitting here planning my revenge,11
Picture To Burn,Verse 2,Taylor Swift,There's nothing stopping me,12
Picture To Burn,Verse 2,Taylor Swift,From going out with all of your best friends,13
Picture To Burn,Verse 2,Taylor Swift,And if you come around saying sorry to me,14
Picture To Burn,Verse 2,Taylor Swift,My daddy's gonna show you how sorry you'll be,15
Picture To Burn,Chorus,Taylor Swift,'Cause I hate that stupid old pickup truck you never let me drive,16
Picture To Burn,Chorus,Taylor Swift,You're a redneck heartbreak who's really bad at lying,17
Picture To Burn,Chorus,Taylor Swift,So watch me strike a match on all my wasted time,18
Picture To Burn,Chorus,Taylor Swift,"As far as I'm concerned, you're just another picture to burn",19
Picture To Burn,Bridge,Taylor Swift,"And if you're missing me, you'd better keep it to yourself",20
Picture To Burn,Bridge,Taylor Swift,'Cause coming back around here would be bad for your health,21
Picture To Burn,Chorus,Taylor Swift,'Cause I hate that stupid old pickup truck you never let me drive,22
Picture To Burn,Chorus,Taylor Swift,You're a redneck heartbreak who's really bad at lying,23
Picture To Burn,Chorus,Taylor Swift,So watch me strike a match on all my wasted time,24
Picture To Burn,Chorus,Taylor Swift,In case you haven't heard,25
Picture To Burn,Chorus,Taylor Swift,I really really hate that,26
Picture To Burn,Chorus,Taylor Swift,Stupid old pickup truck you never let me drive,27
Picture To Burn,Chorus,Taylor Swift,"You're a redneck heartbreak, who's really bad at lying",28
Picture To Burn,Chorus,Taylor Swift,So watch me strike a match on all my wasted time,29
Picture To Burn,Chorus,Taylor Swift,"As far as I'm concerned, you're just another picture to burn",30
Picture To Burn,Outro,Taylor Swift,"Burn, burn, burn, baby, burn",31
Picture To Burn,Outro,Taylor Swift,You're just another picture to burn,32
Picture To Burn,Outro,Taylor Swift,"Baby, burn",33
Teardrops On My Guitar,Verse 1,Taylor Swift,Drew looks at me,1
Teardrops On My Guitar,Verse 1,Taylor Swift,I fake a smile so he won't see,2
