lyric,count
Today was a fairytale,16
"(Red, red, red)",14
Look what you just made me do,13
Ooh-ah,12
Take me away,12
What died didn't stay dead,12
I'd never walk Cornelia Street again,12
Then you were gonna come find me,11
I remember it all too well,10
Only bought this dress so you could take it off,10
All you had to do was (Stay),10
Look what you made me do,10
And that's how it works,10
"Don't look at me, you got a girl at home",9
Bye bye baby,9
"Oh, oh, oh",9
"(Call it what you want, call it what you want, call it)",9
Ra-di-di-di-di-di-di-di-di-di-da-da,9
"Ooh, look what you made me do",9
"Welcome to New York, welcome to New York",9
"(It's coming down, it's coming down)",8
"Wreck my plans, that's my man",8
I'm begging for you to take my hand,8
Let the games begin,8
Ooh,8
I think he knows,8
Are we out of the woods yet? Are we out of the woods?,8
Is it cool that I said all that?,8
Like snow on the beach,8
"My, my, my, my",8
Who's gonna hold you?,8
Said you were gonna grow up,8
Why would you wanna break a perfectly good heart?,7
It must have been the way,7
Foolish one,7
I'll be usin' for the rest of my life,7
I wish you would,7
"Like we're made of starlight, starlight",7
Florida,7
"Soon, you'll get better",7
"Know you better, know you better now",7
I just wanna know you better,7
"Welcome to New York, it's been waitin' for you",7
"Oh, oh",7
You're still an innocent,7
In Wonderland,7
It's nice to have a friend (Ooh),7
Fuck it if I can't have him,7
And all you're ever gonna be is mean,7
Got a long list of ex-lovers,6
I forgot that you existed,6
Champagne problems,6
"Come on, come on, don't leave me like this",6
"Standin' here, hopin' it gets to you",6
"But I just miss you, and I just wish you were a better man",6
"Don't blame me, love made me crazy",6
Are we in the clear yet? Are we in the clear yet?,6
"Uh huh, that's right",6
I thought I had you figured out,6
Don't wanna fly if you're still on the ground,6
"Ooh, we'll run",6
Even if it's a false god,6
"(Once, I had an empire)",6
It's like no matter what I do,6
"Oh, darling, don't you ever grow up",6
I think I've seen this film before,6
I regret you all the time,6
A message in a bottle is all I can do,6
"Hold on to the memories, they will hold on to you",6
High infidelity,6
"So call it what you want, yeah",6
"I was dancing around, dancing around it",6
It's a cruel summer,6
Call it what you want to,6
'Cause I see sparks fly whenever you smile,6
"Are we in the clear yet, in the clear yet? Good",6
Are we out of the woods yet? Are we out of the woods yet?,6
Let you know that what I feel is true,6
"Baby, I'm just gonna shake, shake, shake, shake, shake",6
"Oh, oh-oh",6
"The other half, I'm only tryna",6
"Yeah, yeah",6
"Well, you drive me crazy half the time",6
"Wish you were right here, right now, it's all good",6
So it goes...,6
Wish you knew that,6
"And everybody knows that, everybody knows that",6
But I'm gonna get you back,6
"I want you, bless my",6
Think about the place where you first met me,6
"You got to come on, come on, say that we'll be together",6
It's like a million little stars spelling out your name,6
"Stop, you're losin' me",6
"So, so, so it goes",6
"Dancing with our hands tied, hands tied",6
"Yeah, we were dancing",6
And that's the way I loved you,6
"Come back, be here, come back, be here",6
"Yes, I got your letter",6
Evermore,6
"Yes, I'm doing better",6
"I, I, I shake it off, I shake it off",5
How did it end?,5
With you,5
But we were dancing,5
If you were a better man,5
Oh-oh,5
"Honestly, who are we to fight the alchemy?",5
Said it's still reserved for me,5
I'd be the man,5
And the road not taken looks real good now,5
"Mmm-mm, mm-mm",5
You said you were gonna grow up,5
"King of my heart, body, and soul, ooh whoa",5
"Oh, I'm fallin' in love",5
"'Cause, baby, now we got bad blood",5
"I wanna be your end game, end game",5
You're gorgeous,5
You made a really deep cut,5
"I want you, bless my soul",5
"So (So) long (Long), London (London)",5
We're going to fly away from here,5
This slope is treacherous,5
"No, no, oh-oh",5
You're not sorry,5
I thought the plane was goin' down,5
"No, no body, no crime",5
That will find you the right thing,5
"I shake it off, I shake it off",5
I think I am finally clean,5
Now we got problems,5
"(This love, this love, this love, this love, oh)",5
Getting back together,5
"We found Wonderland, you and I got lost in it",5
'Cause the sign on your heart,5
"I love you, it's ruining my life",5
"Take it oh, ha, ha, ha-ah",5
That ain't never gonna come,5
Stop checkin' your mailbox for confessions of love,5
You still would've been mine,5
"It's me, hi",5
I just wanted you to know that this is me trying,5
"If it doesn't, you ain't doin' it right",5
"Trouble, trouble, trouble",5
So shame on me now,5
"I, I-I-I, I, I, I wish, I wish, I",5
We'd still worship this love,5
"I only see daylight, daylight, daylight, daylight",5
Look what you just made me-,5
"Uh-oh, I'm fallin' in love",5
I knew you were trouble when you walked in,5
How'd you turn it right around?,5
"Oh no, I'm fallin' in love again",5
Isn't it? Isn't it? Isn't it?,5
When the sun goes down,5
"I've been loving you for quite some time, time, time",4
"Spinning in my highest heels, love",4
"Had me in the palm of your hand, then",4
Why'd you have to go and lock me out when I let you in?,4
You're a cowboy like me,4
"Stay, stay, stay",4
But I don't wanna dance,4
It rains when you're here and it rains when you're gone,4
Everybody wants you,4
"You think that it's funny when I'm mad, mad, mad",4
"And I'm dyin' to know, is it killin' you",4
Shining just for you,4
And we're not speakin',4
"In a storm in my best dress, fearless",4
If I'm not dancing with you,4
And I don't know why but with you I'd dance,4
"'Cause I was there when you said, ""forever and always""",4
"You take my hand and drag me head first, fearless",4
Never take advice from someone who's falling apart,4
Like it's killin' me? Yeah,4
"Why would you wanna take our love and tear it all apart, now?",4
"Tonight, I'm gonna dance",4
This is the last time I'm asking you why,4
And who's gonna hold you like me?,4
Nobody,4
"(Say) Say, ""(Don't) don't (Go) go""",4
I'll spend forever wonderin' if you knew,4
I was enchanted to meet you,4
"No, nothing good starts in a getaway car",4
"So scarlet, it was maroon",4
'Cause you were never mine,4
Why you gotta be so mean?,4
Last time I'm asking you this,4
"Oh, yeah",4
"(Hey, hey, hey)",4
Put my name at the top of your list,4
Why would you wanna make the very first scar?,4
This is the last time I'm asking you this,4
And I'm only me when I'm with you,4
"And all at once, you are the one I have been waiting for",4
And I promise that nobody's gonna love you like me-e-e,4
"And everybody knows that, everybody knows that, ah-ah",4
Ridin' in a getaway car,4
Whose laugh I could recognize anywhere,4
Please don't ever become a stranger,4
I'm only up when you're not down,4
And all at once,4
"We ain't getting through this one, babe",4
"Baby, that's the fun of you",4
"This is the last time I'm asking you, last time I'm asking you",4
"Ooh, ooh, ooh",4
"Wind in my hair, I was there, I was there",4
Isn't it? Isn't it? Isn't it? Isn't it?,4
"But on a Wednesday in a café, I watched it begin again",4
And we were happy,4
He did it,4
We were happy,4
I knew you,4
You left me no choice but to stay here forever,4
I don't trust nobody and nobody trusts me,4
I'll be the actress starring in your bad dreams,4
They say I did something bad,4
(You should be) You should be,4
Who's afraid of little old me?,4
"(Ooh, hoo, hoo)",4
Bye bye to everything I thought was on my side,4
I want you back but it's come down to nothing,4
And all I have is your sympathy,4
A better man,4
"Lord, save me, my drug is my baby",4
Because you break them,4
"Breathe without you, but I have to",4
'Cause I know that it's delicate,4
Is it too soon to do this yet?,4
'Cause I know that it's delicate (Delicate),4
Is it chill that you're in my head?,4
'Cause I like you,4
"To you, to you",4
I've still got you all over me,4
"(One, two, three, four)",4
You belong with me,4
"Brand new, full throttle",4
Fell in love when I saw you standing there,4
They'll tell you I'm insane,4
